integration_id,api_id,arn,description,integration_method,integration_type,integration_uri,api_gateway_managed,connection_id,connection_type,content_handling_strategy,credentials_arn,integration_response_selection_expression,integration_subtype,passthrough_behavior,payload_format_version,template_selection_expression,timeout_in_millis,request_parameters,request_templates,response_parameters,tls_config,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
kewvx21,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/kewvx21,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/ad4caa3a4f45f4f6e9537f6d866bb60c/519b96f326b13403/3cc0372570e7edbb,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,kewvx21,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/kewvx21""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
xff0x32,5blgkzmbg1,arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/xff0x32,,POST,AWS_PROXY,arn:aws:lambda:sa-east-1:413850945308:function:meioPagamentoServerless-prd-meioPagamentoVerificaStatus,,,INTERNET,,,,,,2.0,,30000,,{},,,xff0x32,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/xff0x32""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
6xi4on9,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/6xi4on9,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,6xi4on9,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/6xi4on9""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
3ibbxj0,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3ibbxj0,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,3ibbxj0,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3ibbxj0""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
7fh1p6g,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/7fh1p6g,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,7fh1p6g,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/7fh1p6g""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
yq1q73u,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/yq1q73u,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,yq1q73u,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/yq1q73u""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
3jk8bx1,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3jk8bx1,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,3jk8bx1,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3jk8bx1""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
nex0rkh,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/nex0rkh,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,nex0rkh,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/nex0rkh""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
2w007u5,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/2w007u5,,GET,HTTP_PROXY,https://api-plugplay.hsl.org.br/profissional-api/v1/profissionais,,,INTERNET,,,,,,1.0,,30000,"{""overwrite:querystring.id"":""$request.querystring._id"",""overwrite:querystring.idtasy"":""$request.querystring.codPaciente""}",,,,2w007u5,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/2w007u5""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
eqktrc6,szo9hxfrb0,arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/integrations/eqktrc6,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/acc4825f53971418799f69cd8ccdea8d/d0120ee711cde8b1/237a74980e343468,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,eqktrc6,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/integrations/eqktrc6""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
9wt09dt,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/9wt09dt,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,9wt09dt,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/9wt09dt""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
3nt1nzj,8qrolkeoo1,arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3nt1nzj,,GET,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/a0bcabae134444ddc84f2ebbdf7ab6a6/606e3b04daf44550/6cdf3fd8beb928b8,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,3nt1nzj,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/integrations/3nt1nzj""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
08eocod,5blgkzmbg1,arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/08eocod,,POST,AWS_PROXY,arn:aws:lambda:sa-east-1:413850945308:function:meioPagamentoServerless-prd-meioPagamentoGerarLink,,,INTERNET,,,,,,2.0,,30000,,{},,,08eocod,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/08eocod""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
g4rc9ir,5blgkzmbg1,arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/g4rc9ir,,POST,AWS_PROXY,arn:aws:lambda:sa-east-1:413850945308:function:meioPagamentoServerless-prd-meioPagamentoAtualizaStatus,,,INTERNET,,,,,,2.0,,30000,,{},,,g4rc9ir,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/integrations/g4rc9ir""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
jc43lk7,szo9hxfrb0,arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/integrations/jc43lk7,,PUT,HTTP_PROXY,arn:aws:elasticloadbalancing:sa-east-1:413850945308:listener/net/acc4825f53971418799f69cd8ccdea8d/d0120ee711cde8b1/237a74980e343468,,f3joad,VPC_LINK,,,,,,1.0,,30000,,,,,jc43lk7,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/integrations/jc43lk7""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
